epoch,loss,lr,mean_io_u,precision,recall,val_loss,val_mean_io_u,val_precision,val_recall
0,0.3113895058631897,1e-04,0.45060497522354126,0.5148317217826843,0.9450379014015198,0.6826122999191284,0.4508511424064636,0.20251907408237457,0.8780084848403931
1,0.09380218386650085,1e-04,0.4506050646305084,0.9677517414093018,0.9806824326515198,0.4327848255634308,0.4508511424064636,0.0,0.0
2,0.07366636395454407,1e-04,0.4506050646305084,0.9720634818077087,0.9731114506721497,0.49583500623703003,0.4508511424064636,0.056554000824689865,0.03303951770067215
3,0.058364514261484146,1e-04,0.45060497522354126,0.9840470552444458,0.9872716069221497,0.35533103346824646,0.4508511424064636,0.38497304916381836,0.19675834476947784
4,0.052361950278282166,1e-04,0.4506050944328308,0.9845503568649292,0.9861057996749878,0.23767918348312378,0.4508511424064636,0.7271732687950134,0.9717817902565002
5,0.04465170577168465,1e-04,0.45060497522354126,0.988879919052124,0.9911826848983765,0.06764353066682816,0.4508511424064636,0.9478679299354553,0.9821035861968994
6,0.040143050253391266,1e-04,0.45060497522354126,0.9904891848564148,0.9911041259765625,0.05797824636101723,0.4508511424064636,0.9518561959266663,0.9950254559516907
7,0.03622107952833176,1e-04,0.45060524344444275,0.9900994300842285,0.9920679926872253,0.03819575533270836,0.4508511424064636,0.9887388348579407,0.9910844564437866
8,0.03229210898280144,1e-04,0.4506070613861084,0.9924121499061584,0.9930139183998108,0.03290810436010361,0.4508511424064636,0.9895994067192078,0.9938602447509766
9,0.031824298202991486,1e-04,0.45065152645111084,0.9885624051094055,0.9880009293556213,0.060156453400850296,0.9219276905059814,0.9222463965415955,0.9995455145835876
